"Pre-load",0.1,"N"
"Speed, flexure modulus",20,"mm/min"
"Test speed",20,"mm/min"
"Deformation","Standard force"
"mm","N"
1.80308,47.9955
1.80642,48.0817
1.80976,48.1671
1.81309,48.2553
1.81642,48.3351
1.81976,48.423
1.82311,48.508
1.82643,48.5951
1.82975,48.6819
1.83308,48.7724
1.83645,48.8652
1.83979,48.9577
1.84311,49.0501
1.84644,49.1429
1.84978,49.2393
1.85313,49.33
1.85644,49.4245
1.85977,49.5164
1.86309,49.6117
1.86644,49.7051
1.86979,49.7942
1.87312,49.8782
1.87645,49.9649
1.87978,50.05
1.88312,50.1351
1.88646,50.2235
1.88977,50.3053
1.8931,50.3905
1.89643,50.4759
1.89977,50.5555
1.90311,50.6408
1.90643,50.7258
1.90976,50.8149
1.91309,50.9015
1.91645,50.9887
1.91977,51.0773
1.92308,51.1665
1.92641,51.259
1.92974,51.3494
1.93309,51.4423
1.93643,51.5335
1.93978,51.6293
1.9431,51.7203
1.94644,51.8135
1.94978,51.9045
1.9531,51.9959
1.95643,52.0898
1.95976,52.1738
1.9631,52.2588
1.96644,52.3467
1.96978,52.4335
1.97312,52.5169
1.97645,52.5996
1.97981,52.6903
1.98313,52.7784
1.98644,52.8617
1.98977,52.9476
1.9931,53.0357
1.99645,53.1227
1.99978,53.21
2.00311,53.2943
2.00643,53.3795
2.00976,53.4656
2.01311,53.5466
2.01642,53.6289
2.01975,53.716
2.02308,53.8027
2.02642,53.8927
2.02976,53.9837
2.03309,54.0732
2.03643,54.1614
2.03977,54.2496
2.04313,54.3442
2.04646,54.4306
2.04977,54.5203
2.0531,54.6074
2.05642,54.696
2.05977,54.7841
2.06311,54.8723
2.06645,54.9628
2.06977,55.0518
2.07312,55.1442
2.07646,55.226
2.07978,55.3192
2.08311,55.4076
2.08643,55.5001
2.08978,55.5877
2.09312,55.6712
2.09644,55.7585
2.09977,55.8371
2.1031,55.9231
2.10645,56.007
2.10978,56.0937
2.1131,56.1778
2.11642,56.2641
2.11974,56.3474
2.12309,56.4367
2.12642,56.5277
2.12976,56.6181
2.13309,56.7111
2.13643,56.8053
2.13978,56.8914
2.1431,56.9861
2.14643,57.0768
2.14977,57.168
2.15311,57.261
2.15645,57.353
2.15977,57.4417
2.1631,57.5252
2.16645,57.6136
2.1698,57.7002
2.17313,57.7895
2.17645,57.8701
2.17978,57.9496
2.18311,58.0366
2.18645,58.1206
2.18979,58.2041
2.19312,58.295
2.19643,58.3817
2.19978,58.4681
2.20313,58.5505
2.20643,58.6352
2.20976,58.7219
2.21308,58.8135
2.21643,58.9003
2.21977,58.9849
2.22309,59.0672
2.22642,59.1465
2.22975,59.2371
2.2331,59.3247
2.23644,59.4117
2.23977,59.4984
2.2431,59.5878
2.24643,59.6769
2.24978,59.7651
2.25312,59.8572
2.25645,59.9455
2.25978,60.0346
2.26311,60.1184
2.26646,60.2036
2.26978,60.2917
2.27311,60.3793
2.27644,60.4644
2.27977,60.548
2.28312,60.6316
2.28645,60.7142
2.28977,60.8031
2.29311,60.8921
2.29646,60.9808
2.29979,61.0646
2.3031,61.1474
2.30643,61.2338
2.30975,61.3181
2.31309,61.4062
2.31644,61.4909
2.31977,61.579
2.32309,61.662
2.32642,61.7428
2.32977,61.8263
2.33309,61.9171
2.33641,62.0034
2.33974,62.0874
2.3431,62.1713
2.34645,62.2553
2.34977,62.3402
2.3531,62.4237
2.35644,62.5148
2.3598,62.6087
2.36313,62.6951
2.36644,62.7758
2.36978,62.8606
2.37311,62.9465
2.37646,63.0365
2.3798,63.1238
2.38313,63.2114
2.38646,63.2964
2.38979,63.3788
2.39313,63.4606
2.39644,63.545
2.39976,63.6309
2.40309,63.7141
2.40642,63.7962
2.40977,63.8804
2.41309,63.9593
2.41642,64.0417
2.41975,64.127
2.4231,64.207
2.42644,64.2853
2.42976,64.3664
2.43309,64.4499
2.43641,64.5397
2.43976,64.6238
2.4431,64.7061
2.44645,64.7937
2.44979,64.8801
2.45311,64.9631
2.45646,65.0527
2.45977,65.1437
2.4631,65.2341
2.46643,65.3251
2.46976,65.409
2.4731,65.4988
2.47644,65.5866
2.47978,65.675
2.4831,65.7572
2.48646,65.8388
2.4898,65.9183
2.49311,66.002
2.49645,66.0813
2.49977,66.1564
2.50311,66.2368
2.50645,66.3133
2.50978,66.3907
2.51312,66.468
2.51644,66.5483
2.51978,66.629
2.5231,66.7142
2.52642,66.792
2.52975,66.871
2.53308,66.9574
2.53642,67.0443
2.53975,67.1307
2.54309,67.2198
2.54643,67.3031
2.54978,67.3877
2.55312,67.4782
2.55644,67.5656
2.55977,67.6531
2.56309,67.743
2.56644,67.8296
2.56979,67.9121
2.57312,67.9931
2.57646,68.0768
2.57979,68.1607
2.58314,68.2442
2.58646,68.3247
2.58978,68.4049
2.59311,68.4842
2.59644,68.5671
2.59978,68.6473
2.6031,68.7256
2.60644,68.8111
2.60975,68.8908
2.6131,68.97
2.61644,69.0542
2.61976,69.1389
2.62309,69.2186
2.6264,69.3015
2.62974,69.3854
2.63309,69.4686
2.63643,69.5548
2.63977,69.6407
2.6431,69.73
2.64645,69.8161
2.64977,69.8976
2.6531,69.9818
2.65644,70.0697
2.65977,70.1551
2.66311,70.2402
2.66644,70.3255
2.66975,70.4084
2.6731,70.4858
2.67645,70.5615
2.67979,70.6455
2.6831,70.7296
2.68644,70.8108
2.68976,70.8906
2.6931,70.9716
2.69645,71.0507
2.69978,71.13
2.7031,71.2142
2.70644,71.2959
2.7098,71.3737
2.71311,71.4475
2.71643,71.5235
2.71976,71.5972
2.72309,71.6773
2.72644,71.7603
2.72975,71.8377
2.73308,71.9178
2.73641,71.9977
2.73975,72.0835
2.7431,72.1667
2.74642,72.2514
2.74976,72.3334
2.75308,72.419
2.75643,72.4961
2.75978,72.5776
2.76311,72.6609
2.76645,72.7435
2.76977,72.8263
2.77313,72.9021
2.77646,72.9866
2.77978,73.0694
2.78312,73.1535
2.78645,73.2316
2.78979,73.3152
2.79312,73.3896
2.79645,73.4698
2.79978,73.548
2.80312,73.6264
2.80645,73.7095
2.80977,73.7842
2.81309,73.858
2.81641,73.933
2.81974,74.0136
2.82309,74.0935
2.82643,74.1782
2.82976,74.2534
2.83308,74.3258
2.83644,74.3986
2.83977,74.4756
2.84309,74.5579
2.84642,74.6394
2.84976,74.7177
2.85312,74.7958
2.85645,74.8708
2.85978,74.9481
2.86311,75.0291
2.86645,75.1154
2.8698,75.1953
2.87311,75.2753
2.87644,75.3525
2.87977,75.4292
2.88312,75.5078
2.88646,75.5864
2.88979,75.6615
2.89312,75.7309
2.89645,75.805
2.89979,75.8775
2.90312,75.9529
2.90643,76.022
2.90977,76.0935
2.91309,76.1682
2.91644,76.239
2.91977,76.3106
2.9231,76.3876
2.92642,76.4674
2.92976,76.5434
2.93312,76.6176
2.93643,76.6917
2.93975,76.7731
2.94307,76.849
2.94641,76.9258
2.94976,77.0055
2.9531,77.0799
2.95645,77.1555
2.95977,77.2314
2.96312,77.3055
2.96644,77.3852
2.96977,77.4656
2.9731,77.5385
2.97643,77.6155
2.97978,77.693
2.98311,77.7672
2.98645,77.8414
2.98978,77.911
2.99312,77.9839
2.99647,78.0591
2.99978,78.1343
3.00311,78.2087
3.00643,78.2829
3.00977,78.3566
3.01311,78.4321
3.01644,78.5058
3.01977,78.584
3.0231,78.6667
3.02644,78.7499
3.02977,78.8301
3.03308,78.9123
3.03642,78.9939
3.03975,79.0807
3.04309,79.1683
3.04643,79.2582
3.04976,79.3475
3.0531,79.4324
3.05645,79.5183
3.05981,79.6018
3.06312,79.691
3.06644,79.7747
3.06977,79.8621
3.0731,79.9515
3.07644,80.0367
3.07978,80.1159
3.08312,80.1998
3.08644,80.2852
3.08979,80.3675
3.09313,80.4502
3.09644,80.5327
3.09977,80.6135
3.1031,80.6958
3.10644,80.7756
3.10978,80.8586
3.11311,80.9422
3.11643,81.0236
3.11977,81.1087
3.12312,81.1977
3.12644,81.2812
3.12977,81.3658
3.13308,81.451
3.1364,81.5352
3.13975,81.6163
3.14309,81.6998
3.14643,81.7902
3.14976,81.8789
3.1531,81.9612
3.15644,82.0423
3.15976,82.1293
3.1631,82.2147
3.16644,82.3015
3.16978,82.3834
3.17311,82.47
3.17643,82.549
3.17977,82.623
3.18312,82.7003
3.18647,82.7798
3.18979,82.8607
3.19312,82.9402
3.19644,83.0194
3.19977,83.0991
3.20312,83.1847
3.20645,83.2655
3.20978,83.3501
3.2131,83.4272
3.21645,83.5057
3.21979,83.5806
3.2231,83.6567
3.22642,83.7324
3.22976,83.8084
3.2331,83.8866
3.23643,83.9624
3.23975,84.0378
3.24309,84.1187
3.24642,84.2031
3.24978,84.2848
3.25311,84.3721
3.25644,84.4545
3.25977,84.5384
3.26309,84.6202
3.26645,84.7002
3.26978,84.7785
3.27311,84.8609
3.27644,84.9365
3.27977,85.014
3.28312,85.0949
3.28644,85.1739
3.28977,85.2571
3.29311,85.3354
3.29644,85.4146
3.29978,85.4957
3.30311,85.5726
3.30644,85.6509
3.30978,85.7309
3.31313,85.8065
3.31645,85.8793
3.31977,85.9598
3.32309,86.032
3.32642,86.104
3.32976,86.1754
3.33311,86.2477
3.33643,86.3279
3.33975,86.404
3.34309,86.4795
3.34644,86.5597
3.34976,86.6382
3.35308,86.7142
3.35641,86.7906
3.35977,86.8729
3.36311,86.9547
3.36644,87.0348
3.36977,87.1126
3.37311,87.1886
3.37646,87.2684
3.37979,87.3446
3.38311,87.4205
3.38644,87.4931
3.38978,87.5732
3.39313,87.6486
3.39646,87.7235
3.39979,87.7971
3.40312,87.8684
3.40645,87.9401
3.4098,88.0119
3.41311,88.0856
3.41643,88.1594
3.41976,88.233
3.42309,88.3018
3.42643,88.37
3.42976,88.4403
3.43309,88.5089
3.43642,88.5819
3.43977,88.6574
3.4431,88.728
3.44642,88.8037
3.44974,88.8805
3.45308,88.9553
3.45643,89.0301
3.45977,89.1058
3.46312,89.1814
3.46645,89.2569
3.46978,89.3288
3.47312,89.3995
3.47644,89.4743
3.47976,89.5458
3.48309,89.6141
3.48643,89.6864
3.48977,89.7606
3.49311,89.8327
3.49644,89.9001
3.49977,89.9697
3.50313,90.0412
3.50646,90.1113
3.50978,90.1773
3.51311,90.2501
3.51643,90.3229
3.51979,90.3892
3.52312,90.458
3.52645,90.5253
3.52978,90.5903
3.53311,90.6596
3.53645,90.7269
3.53976,90.7963
3.54308,90.8694
3.54642,90.9338
3.54975,91.004
3.55309,91.0761
3.55642,91.1429
3.55976,91.2072
3.56309,91.2791
3.56645,91.3487
3.56979,91.4178
3.5731,91.4885
3.57643,91.5606
3.57976,91.6334
3.58311,91.6995
3.58645,91.764
3.58979,91.8301
3.59312,91.9048
3.59646,91.9723
3.59981,92.0379
3.60313,92.109
3.60645,92.172
3.60977,92.2338
3.61311,92.2982
3.61645,92.3659
3.61976,92.4327
3.6231,92.5015
3.62642,92.5683
3.62977,92.6374
3.6331,92.7061
3.63642,92.7686
3.63976,92.8385
3.64307,92.9055
3.64641,92.968
3.64976,93.0301
3.6531,93.0984
3.65643,93.1612
3.65977,93.2188
3.66312,93.2837
3.66644,93.3498
3.66977,93.4184
3.6731,93.4869
3.67644,93.5531
3.67978,93.6237
3.6831,93.6965
3.68642,93.7577
3.68977,93.8229
3.69312,93.8972
3.69645,93.9676
3.69977,94.0296
3.7031,94.0899
3.70643,94.1536
3.70977,94.2204
3.71312,94.2834
3.71645,94.3442
3.71977,94.4083
3.72312,94.4744
3.72647,94.5327
3.72978,94.5908
3.7331,94.6556
3.73642,94.724
3.73977,94.7878
3.74311,94.8512
3.74642,94.912
3.74975,94.9756
3.75308,95.0438
3.75643,95.1078
3.75977,95.1753
3.7631,95.239
3.76644,95.3038
3.76975,95.366
3.7731,95.4278
3.77645,95.4949
3.77978,95.5636
3.78312,95.6291
3.78644,95.6913
3.7898,95.7556
3.79312,95.8168
3.79645,95.8766
3.79978,95.9406
3.80311,96.0041
3.80645,96.0638
3.80978,96.1217
3.81311,96.1801
3.81644,96.2413
3.81979,96.3075
3.82312,96.3658
3.82643,96.4205
3.82975,96.4793
3.83308,96.5366
3.83641,96.5938
3.83976,96.6526
3.8431,96.7125
3.84642,96.7701
3.84975,96.8285
3.85311,96.8843
3.85644,96.9442
3.85976,97.0098
3.86308,97.0703
3.86643,97.1307
3.86979,97.1909
3.87311,97.2553
3.87644,97.315
3.87977,97.3793
3.88312,97.4417
3.88646,97.5056
3.88977,97.5682
3.8931,97.6217
3.89643,97.6865
3.89979,97.7472
3.90313,97.8055
3.90645,97.8597
3.90979,97.9187
3.91311,97.9738
3.91646,98.032
3.91978,98.0897
3.9231,98.149
3.92644,98.2127
3.92976,98.2691
3.93311,98.3236
3.93644,98.3801
3.93976,98.439
3.94309,98.4972
3.94644,98.5556
3.94979,98.6107
3.9531,98.6631
3.95641,98.7173
3.95974,98.7714
3.96309,98.8305
3.96643,98.8868
3.96977,98.9458
3.97312,99.0025
3.97644,99.0589
3.97978,99.1214
3.98311,99.1808
3.98643,99.2407
3.98977,99.2954
3.9931,99.3564
3.99644,99.4136
3.99978,99.4753
4.00312,99.5356
4.00645,99.5933
4.00979,99.6467
4.01314,99.6983
4.01645,99.752
4.01977,99.8093
4.0231,99.867
4.02644,99.9196
4.02978,99.9752
4.03311,100.029
4.03644,100.078
4.03976,100.129
4.0431,100.181
4.04643,100.231
4.04974,100.283
4.05308,100.335
4.05642,100.389
4.05976,100.446
4.06309,100.496
4.06643,100.545
4.06977,100.598
4.07312,100.65
4.07647,100.708
4.07978,100.764
4.08311,100.818
4.08643,100.873
4.08976,100.927
4.09311,100.979
4.09645,101.035
4.09978,101.093
4.10311,101.146
4.10646,101.202
4.10979,101.253
4.11311,101.305
4.11644,101.357
4.11977,101.406
4.12312,101.457
4.12644,101.508
4.12977,101.551
4.1331,101.595
4.13644,101.644
4.13979,101.694
4.1431,101.744
4.14644,101.797
4.14974,101.847
4.15307,101.898
4.15642,101.949
4.15975,102
4.16309,102.059
4.16643,102.116
4.16977,102.165
4.17311,102.215
4.17642,102.27
4.17976,102.323
4.1831,102.378
4.18645,102.434
4.18977,102.485
4.1931,102.541
4.19644,102.588
4.19979,102.632
4.20314,102.691
4.20645,102.745
4.20978,102.793
4.2131,102.837
4.21644,102.886
4.21978,102.936
4.22312,102.985
4.22644,103.032
4.22977,103.08
4.23312,103.131
4.23645,103.169
4.23976,103.216
4.24309,103.262
4.24642,103.314
4.24977,103.359
4.25309,103.403
4.25642,103.45
4.25975,103.498
4.26309,103.548
4.26645,103.596
4.26977,103.646
4.27311,103.694
4.27643,103.741
4.27977,103.793
4.28312,103.845
4.28645,103.895
4.28978,103.944
4.29311,103.988
4.29645,104.033
4.29979,104.084
4.30311,104.139
4.30644,104.188
4.30978,104.238
4.31311,104.277
4.31645,104.321
4.31978,104.364
4.32311,104.409
4.32645,104.457
4.32979,104.502
4.33311,104.544
4.33643,104.582
4.33975,104.628
4.34308,104.674
4.34643,104.724
4.34977,104.768
4.35309,104.814
4.35641,104.859
4.35976,104.906
4.3631,104.957
4.36642,105.009
4.36974,105.062
4.37308,105.107
4.37644,105.153
4.37978,105.199
4.3831,105.247
4.38643,105.296
4.38978,105.343
4.39314,105.387
4.39645,105.431
4.39978,105.472
4.4031,105.505
4.40645,105.549
4.4098,105.586
4.41313,105.626
4.41646,105.666
4.41979,105.705
4.42313,105.747
4.42646,105.791
4.42977,105.834
4.4331,105.876
4.43642,105.925
4.43976,105.965
4.4431,106.006
4.44642,106.047
4.44975,106.085
4.45309,106.128
4.45645,106.169
4.45977,106.208
4.46309,106.247
4.46641,106.29
4.46975,106.331
4.4731,106.37
4.47644,106.408
4.47979,106.451
4.48312,106.502
4.48646,106.542
4.48979,106.581
4.4931,106.622
4.49643,106.666
4.49976,106.703
4.5031,106.743
4.50644,106.788
4.50978,106.834
4.51311,106.867
4.51644,106.896
4.5198,106.938
4.52312,106.978
4.52644,107.02
4.52977,107.057
4.5331,107.1
4.53645,107.139
4.53978,107.175
4.54311,107.213
4.54644,107.255
4.54977,107.297
4.55312,107.334
4.55642,107.373
4.55975,107.412
4.56308,107.452
